sic_code,course,status,server
01.0,AGRICULTURAL PRODUCTION CROPS,nan,nan
011901.1,Pea farms,nan,nan
011901.2,Vean farms,COMPLETADO,172.26.192.1
011902.0,Feeder grains,nan,nan
011903.0,Oil grains,nan,nan
011904.0,Cereal crop farms,nan,nan
011999.0,Cash grains,nan,nan
013199.0,Cotton,nan,nan
013399.1,Sugarcane,nan,nan
013399.2,Sugar beets,nan,nan
013901.0,Feeder crops,nan,nan
013902.0,Food crops,nan,nan
013999.0,Field crops,nan,nan
016101.0,Melon farms,nan,nan
016103.0,Rooted vegetable farms,nan,nan
016104.1,Lettuce farms,nan,nan
016104.2,Leaf vegetable farms,nan,nan
016199.1,Vegetable,nan,nan
016199.2,Melons,nan,nan
017199.0,Berry crops,nan,nan
017399.0,Tree nuts,nan,nan
017499.0,Citrus fruits,nan,nan
017599.0,Deciduous tree fruits,nan,nan
017999.0,Fruits,nan,nan
018101.1,Plants,nan,nan
018101.2,Foliage,nan,nan
018101.3,And shrubberies,nan,nan
018102.1,Florists',nan,nan
018102.2,Greens,nan,nan
018102.3,Flowers,nan,nan
018103.1,Bulbs,nan,nan
018103.2,Seeds,nan,nan
018199.0,Ornamental nursery products,nan,nan
018201.0,Vegetable crops grown under cover,nan,nan
018299.0,Food crops grown under cover,nan,nan
02.0,AGRICULTURAL PRODUCTION LIVESTOCK,nan,nan
021399.0,Hogs,nan,nan
021401.0,Goats,nan,nan
021402.0,Sheep,nan,nan
024199.0,Dairy farms,nan,nan
025199.1,Roasted Chicken,nan,nan
025199.2,Fried Chicken,nan,nan
025299.0,Chicken Eggs,nan,nan
025399.1,Turkeys,nan,nan
025399.2,Turkey eggs,nan,nan
025499.0,Poultry hatcheries,nan,nan
025999.1,Poultry,nan,nan
025999.2,Poultry eggs,nan,nan
027199.1,Furbearing animals,nan,nan
027199.2,Rabbits,nan,nan
027299.1,Horses,nan,nan
027299.2,Equines,nan,nan
027301.0,Finfish farms,nan,nan
027302.0,Shellfish farms,nan,nan
027901.0,Worm farms,nan,nan
027902.0,Bird sanctuaries,nan,nan
027903.0,Amphibious animal farms,nan,nan
027904.0,Domestic animal farms,nan,nan
027999.0,Animal specialties,nan,nan
