"id","sic_code","course_name","status","server"
1,"01.0","AGRICULTURAL PRODUCTION CROPS",,
2,"011901.1","Pea farms",,
3,"011901.2","Vean farms",,
4,"011902.0","Feeder grains",,
5,"011903.0","Oil grains",,
6,"011904.0","Cereal crop farms",,
7,"011999.0","Cash grains",,
8,"013199.0","Cotton",,
9,"013399.1","Sugarcane",,
10,"013399.2","Sugar beets",,
11,"013901.0","Feeder crops",,
12,"013902.0","Food crops",,
13,"013999.0","Field crops",,
14,"016101.0","Melon farms",,
15,"016103.0","Rooted vegetable farms",,
16,"016104.1","Lettuce farms",,
17,"016104.2","Leaf vegetable farms",,
18,"016199.1","Vegetable",,
19,"016199.2","Melons",,
20,"017199.0","Berry crops",,
21,"017399.0","Tree nuts",,
22,"017499.0","Citrus fruits",,
23,"017599.0","Deciduous tree fruits",,
24,"017999.0","Fruits",,
25,"018101.1","Plants",,
26,"018101.2","Foliage",,
27,"018101.3","And shrubberies",,
28,"018102.1","Florists'",,
29,"018102.2","Greens",,
30,"018102.3","Flowers",,
31,"018103.1","Bulbs",,
32,"018103.2","Seeds",,
33,"018199.0","Ornamental nursery products",,
34,"018201.0","Vegetable crops grown under cover",,
35,"018299.0","Food crops grown under cover",,
36,"02.0","AGRICULTURAL PRODUCTION LIVESTOCK",,
37,"021399.0","Hogs",,
38,"021401.0","Goats",,
39,"021402.0","Sheep",,
40,"024199.0","Dairy farms",,
41,"025199.1","Roasted Chicken",,
42,"025199.2","Fried Chicken",,
43,"025299.0","Chicken Eggs",,
44,"025399.1","Turkeys",,
45,"025399.2","Turkey eggs",,
46,"025499.0","Poultry hatcheries",,
47,"025999.1","Poultry",,
48,"025999.2","Poultry eggs",,
49,"027199.1","Furbearing animals",,
50,"027199.2","Rabbits",,
51,"027299.1","Horses",,
52,"027299.2","Equines",,
53,"027301.0","Finfish farms",,
54,"027302.0","Shellfish farms",,
55,"027901.0","Worm farms",,
56,"027902.0","Bird sanctuaries",,
57,"027903.0","Amphibious animal farms",,
58,"027904.0","Domestic animal farms",,
59,"027999.0","Animal specialties",,
60,"029199.0","General farms primarily animals",,
61,"07.0","AGRICULTURAL SERVICES",,
62,"071199.0","Soil preparation services",,
63,"072101.1","Orchard. Tree",,
64,"072101.2","Vine services",,
65,"072102.1","Sprout services",,
66,"072102.2","Twig services",,
67,"072103.0","Crop protecting services",,
68,"072104.0","Crop cultivating services",,
69,"072199.1","Crop planting",,
70,"072199.2","Crop protection",,
71,"072201.1","Cash grains services",,
72,"072201.2","Machine harvesting services",,
73,"072202.1","Fruit",,
74,"072202.2","Tree nuts",,
75,"072203.0","Field crops",,
76,"072299.0","Crop harvesting",,
77,"072301.1","Field crops",,
78,"072301.2","Field crops market preparation services",,
79,"072302.1","Cash grain crops",,
80,"072302.2","Grain market preparation services",,
81,"072303.1","Vegetable crops",,
82,"072303.2","Vegetable market preparation services",,
83,"072304.1","Fruit crops",,
84,"072304.2","Fruit market preparation services",,
85,"072305.1","Tree nut crops",,
86,"072305.2","Tree nut market preparation services",,
87,"072399.0","Crop market preparation services",,
88,"072499.1","Cotton",,
89,"072499.2","Cotton Ginning",,
90,"074199.0","Veterinary services for livestock",,
91,"074299.1","Veterinary services",,
92,"074299.2","Veterinary specialties",,
93,"075101.0","Cattle services",,
94,"075102.0","Poultry services",,
95,"075103.0","Sheep services",,
96,"075104.0","Livestock reproduction services",,
97,"075199.0","Livestock services",,
98,"075201.0","Animal breeding services",,
99,"075202.0","Animal boarding services",,
100,"075203.0","Animal training services",,
101,"075299.0","Animal specialty services",,
102,"076199.0","Farm labor contractors",,
103,"076299.0","Farm management services",,
104,"078101.0","Horticulture services",,
105,"078102.0","Landscape services",,
106,"078201.0","Garden services",,
107,"078299.1","Lawn services",,
108,"078299.2","Garden services",,
109,"078301.1","Planting services",,
110,"078301.2","Pruning services",,
111,"078301.3","Trimming services",,
112,"078302.1","Bracing services",,
113,"078302.2","Surgery services",,
114,"078399.1","Ornamental shrub services",,
115,"078399.2","Ornamental tree services",,
116,"08.0","FORESTRY",,
117,"081199.0","Timber.Tracts",,
118,"083101.0","Gathering of forest products",,
119,"083102.1","Gum extraction",,
120,"083102.2","Gum distillation",,
121,"083102.3","Resin extraction",,
122,"083102.4","Resin distillation",,
123,"083199.0","Forest products",,
124,"085101.0","Forest management services",,
125,"085199.0","Forestry services",,
126,"09.0","FISHING HUNTING AND TRAPS",,
127,"091299.0","Finfish",,
128,"091301.0","Digging of shellfish",,
129,"091302.0","Catching of shellfish",,
130,"091901.1","Whale fishing",,
131,"091901.2","Whale products",,
132,"091999.0","Miscellaneous marine products",,
133,"092199.1","Fish hatcheries",,
134,"092199.2","Fish preserves",,
135,"097101.0","Game services",,
136,"097102.0","Hunting services",,
137,"097199.1","Hunting",,
138,"097199.2","Trapping",,
139,"097199.3","Hunting propagation",,
140,"10.0","METAL MINING",,
141,"101101.0","Iron ore mining",,
142,"101102.0","Iron ore preparation",,
143,"102101.1","Copper ore mining",,
144,"102101.2","Copper ore preparation",,
145,"103101.0","Lead ores mining",,
146,"103102.0","Zinc ores mining",,
147,"104101.0","Gold ores mining",,
148,"104102.0","Gold ores processing",,
149,"104401.0","Silver ores mining",,
150,"104402.0","Silver ores processing",,
151,"106101.0","Chromium ores mining",,
152,"106102.0","Manganese ores mining",,
153,"106103.0","Molybdenum ores mining",,
154,"106104.0","Tungsten ores mining",,
155,"106199.0","Ferroalloy ores",,
156,"108101.1","Metal mining exploration",,
157,"108101.2","Metal development services",,
158,"108199.0","Metal mining services",,
159,"109499.1","Uranium ore",,
160,"109499.2","Radium ore",,
161,"109499.3","Vanadium ore",,
162,"109901.1","Aluminum ore mining",,
163,"109901.2","Beryllium ore mining",,
164,"109903.0","Platinum group ores mining",,
165,"109904.0","Rareearth ores mining",,
166,"109905.1","Titanium ores mining",,
167,"109905.2","Zirconium ores mining",,
168,"109999.0","Metal ores",,
169,"12.0","EXTRACTION OF BITUMINOUS COAL AND LIGNITE",,
170,"122101.0","Bituminous coal surface mining",,
171,"122102.1","Bituminous coal loading and preparation",,
172,"122102.2","Lignite loading and preparation",,
173,"122299.0","Bituminous coal underground",,
174,"123101.1","Anthracite preparation",,
175,"123101.2","Anthracite screening",,
176,"123199.0","Anthracite mining",,
177,"124101.1","Coal mining exploration",,
178,"124101.2","Coal mining test boring",,
179,"124102.0","Mine preparation services",,
180,"124199.0","Coal mining services",,
181,"13.0","OIL AND GAS EXTRACTION",,
182,"131101.1","Crude petroleum production",,
183,"131101.2","Natural gas production",,
184,"131102.1","Gas liquefaction from coal",,
185,"131102.2","Hydrocarbon liquefaction from coal",,
186,"131103.1","Sand oil mining",,
187,"131103.2","Shale oil mining",,
188,"132199.0","Natural gas liquids",,
189,"138199.1","Drilling oil wells",,
190,"138199.2","Gas wells",,
191,"138299.1","Oil exploration services",,
192,"138299.2","Gas exploration services",,
193,"138901.1","Construction services",,
194,"138901.3","Dismantling services",,
195,"138902.1","Testing services",,
196,"138902.2","Measuring services",,
197,"138903.1","Bailing of Wells",,
198,"138903.2","Cleaning of Wells",,
199,"138903.3","Swabbing of Wells",,
200,"138903.4","Treating of Wells",,
201,"138999.1","Oil field services",,
202,"138999.2","Gas field services",,
203,"14.0","EXTRACTION OF NONMETALLIC MINERALS EXCEPT FUELS",,
204,"141101.1","Limestone dimension Stone",,
205,"141101.2","Marble dimension stone",,
206,"141102.0","Granite dimension stone",,
207,"141103.0","Igneous dimension stone",,
208,"141199.0","Dimension stone",,
209,"142201.0","Limestones ground",,
210,"142299.1","Crushed limestone",,
211,"142299.2","Broken limestone",,
212,"142399.1","Crushed granite",,
213,"142399.2","Broken granite",,
214,"142901.1","Igneous rock quarrying",,
215,"142901.2","Crushed igneous rock quarrying",,
216,"142901.3","Broken igneous rock quarrying",,
217,"142999.1","Crushed Stone",,
218,"142999.2","Broken stone",,
219,"144201.0","Sand mining",,
220,"144202.1","Gravel mining",,
221,"144202.2","Pebble mining",,
222,"144699.0","Industrial sand",,
223,"145599.1","Kaolin clay",,
224,"145599.2","Ball clay",,
225,"145901.0","Clays",,
226,"145902.0","Nonclay refractory minerals",,
227,"145903.0","Feldspar mining",,
228,"145999.1","Clay mineral",,
229,"145999.2","Clay related minerals",,
230,"147499.1","Potash mineral",,
231,"147499.2","Soda mineral",,
232,"147499.3","Borate mineral",,
233,"147599.0","Phosphate rock",,
234,"147901.0","Mineral pigment mining",,
235,"147902.0","Pyrites mining",,
236,"147903.1","Salt mining",,
237,"147903.2","Sulfur mining",,
238,"147904.0","Fertilizer mineral mining",,
239,"147999.1","Chemical mining",,
240,"147999.2","Fertilizer mining",,
241,"148101.1","Nonmetallic minerals development",,
242,"148101.2","Nonmetallic minerals test boring",,
243,"148199.0","Nonmetallic mineral services",,
244,"149901.1","Gemstone mining",,
245,"149901.2","Industrial diamond mining",,
246,"149902.0","Mica mining",,
247,"149903.1","Gypsum mining",,
248,"149903.2","Calcite mining",,
249,"149904.0","Mineral abrasives mining",,
250,"149905.0","Talc mining",,
251,"149906.1","Peat mining",,
252,"149906.2","Peat processing",,
253,"149907.1","Asphalt mining",,
254,"149907.2","Bituminous stone quarrying",,
255,"149999.0","Miscellaneous nonmetallic minerals",,
256,"15.0","BUILDING CONSTRUCTION GENERAL CONTRACTORS AND OPERATING BUILDERS",,
257,"152101.1","Singlefamily home remodeling",,
258,"152101.2","Singlefamily home additions",,
259,"152101.3","Singlefamily home repairs",,
260,"152199.0","Singlefamily housing construction",,
261,"152201.1","Hotel/motel construction",,
262,"152201.2","Multifamily home construction",,
263,"152202.1","Hotel/motel renovation",,
264,"152202.2","Hotel/motel remodeling",,
265,"152202.3","Multifamily home renovation",,
266,"152202.4","Multifamily home remodeling",,
267,"153199.0","Operative builders",,
268,"154199.1","Industrial buildings",,
269,"154199.2","Industrial warehouses",,
270,"154201.1","Commercial building contractors",,
271,"154201.2","Office building contractors",,
272,"154202.0","Agricultural building contractors",,
273,"154203.1","Garage contractors",,
274,"154203.2","Service station contractors",,
275,"154204.0","Specialized public building contractors",,
276,"154299.0","Nonresidential construction",,
277,"16.0","HEAVY CONSTRUCTION OTHER THAN BUILDING CONSTRUCTION CONTRACTORS",,
278,"161101.1","Highway signs",,
279,"161101.2","Highway guardrails",,
280,"161102.1","Surfacing",,
281,"161102.2","Paving",,
282,"161199.1","Highway construction",,
283,"161199.2","Street construction",,
284,"162299.1","Bridge",,
285,"162299.3","Elevated highway",,
286,"162301.1","Oil and gas line construction",,
287,"162301.2","Compressor station construction",,
288,"162302.1","Communication line construction",,
289,"162302.2","Transmission tower construction",,
290,"162303.1","Water line construction",,
291,"162303.2","Sewer line construction",,
292,"162399.1","Water line",,
293,"162399.3","Utility line",,
294,"162901.1","Dams construction",,
295,"162902.1","Railroad construction",,
296,"162902.2","Subway construction",,
297,"162903.1","Athletic construction",,
298,"162903.2","Recreation facilities construction",,
299,"162904.0","Land preparation construction",,
300,"162905.0","Industrial plant construction",,
301,"162999.0","Heavy construction",,
302,"171101.1","Boiler contractors",,
303,"171102.0","Plumbing contractors",,
304,"171103.0","Sprinkler contractors",,
305,"171104.1","Heating contractors",,
306,"171104.2","Air conditioning contractors",,
307,"171199.1","Plumbing",,
308,"171199.2","Heating",,
309,"171199.3","Airconditioning",,
310,"172101.0","Residential painting",,
311,"172102.0","Commercial painting",,
312,"172103.0","Industrial painting",,
313,"172104.0","Wallcovering contractors",,
314,"173101.0","Electric power systems contractors",,
315,"173102.0","Electronic controls installation",,
316,"173103.0","Communications specialization",,
317,"173104.1","Safety specialization",,
318,"173199.0","Electrical work",,
319,"174101.1","Foundation construction",,
320,"174101.2","Retaining wall construction",,
321,"174199.0","Masonry",,
322,"174199.1","Other stonework",,
323,"174201.1","Plaster work",,
324,"174201.2","Drywall work",,
325,"174202.1","Acoustical work",,
326,"174202.2","Insulation work",,
327,"174399.1","Terrazzo work",,
328,"175101.1","Cabinet carpentry",,
329,"175101.2","Finish carpentry",,
330,"175102.1","Window installation and erection",,
331,"175102.2","Door installation and erection",,
332,"175199.0","Carpentry work",,
333,"175299.1","Floor laying",,
334,"175299.2","Floor work",,
335,"176101.0","Roofing work",,
336,"176101.1","Gutter work",,
337,"176199.1","Roofing work",,
338,"176199.2","Siding work",,
339,"176199.3","Sheetmetal work",,
340,"177101.1","Stucco contractors",,
341,"177101.2","Gunite contractors",,
342,"177101.3","Grouting contractors",,
343,"177102.0","Curb contractors",,
344,"177102.1","Sidewalk contractors",,
345,"177103.1","Driveway contractors",,
346,"177103.2","Parking lot contractors",,
347,"177103.3","Blacktop contractors",,
348,"177199.0","Concrete work",,
349,"178199.0","Water well drilling",,
350,"179199.0","Structural Steel erection",,
351,"179499.0","Excavation work",,
352,"179599.1","Wrecking work",,
353,"179599.2","Demolition work",,
354,"179699.0","Installing building equipment",,
355,"179901.1","Athletic facilities construction",,
356,"179901.2","Recreation facilities construction",,
357,"179902.1","Coating caulking",,
358,"179902.2","Protection versus fireproofing",,
359,"179903.0","Service station equipment",,
360,"179904.1","Rigging",,
361,"179904.2","Scaffolding",,
362,"179905.1","Exterior cleaning",,
363,"179905.2","Exterior sandblasting",,
364,"179906.1","Home/office interiors finishing",,
365,"179906.2","Home/office interiors furnishing",,
366,"179906.3","Home/office interiors remodeling",,
367,"179907.0","Parking facility equipment",,
368,"179907.1","Parking facility maintenance",,
369,"179908.0","Decontamination services",,
370,"179909.0","Building site preparation",,
371,"179999.0","Special trade contractors",,
372,"20.0","FOOD AND RELATED PRODUCTS",,
373,"201101.1","Beef products. from beef slaughtered on site",,
374,"201102.0","Pork products. from pork slaughtered on site",,
375,"201103.0","Lamb products from lamb slaughtered on site",,
376,"201104.1","Meat byproducts",,
377,"201104.2","Meat byproducts from meat slaughtered on site",,
378,"201199.0","Meat packing plants",,
379,"201301.1","Prepared beef products",,
380,"201301.2","Prepared beef products from purchased beef",,
381,"201302.1","Prepared pork products",,
382,"201302.2","Prepared pork products from purchased pork",,
383,"201303.1","Sausages and related products",,
384,"201303.2","Sausages and related products from purchased meat",,
385,"201399.0","Sausages and other prepared meats",,
386,"201501.1","Chicken slaughtering",,
387,"201501.2","Chicken processing",,
388,"201502.1","Duck slaughtering",,
389,"201502.2","Duck processing",,
390,"201503.0","Egg processing",,
391,"201504.1","Small game slaughtering",,
392,"201504.2","Small game processing",,
393,"201505.1","Geese slaughtering",,
394,"201505.2","Geese processing",,
395,"201506.1","Poultry slaughtering",,
396,"201506.2","Poultry processing",,
397,"201507.1","Rabbit slaughtering",,
398,"201507.2","Rabbit processing",,
399,"201508.1","Turkey processing",,
400,"201508.2","Turkey slaughtering",,
401,"201509.1","Poultry sausage l",,
402,"201509.3","Other poultry products",,
403,"202199.0","Creamery butter",,
404,"202201.1","Cheese spreads",,
405,"202201.2","Cheese dips",,
406,"202201.3","Cheese pastes",,
407,"202201.4","Other cheese products",,
