sic_code,course_name,title,description,url,total_words
604(0006),Drawing,"Archived Final Report Summary - EU-WISE (Self-care Support for People with Long Term Conditions, Diabetes and Heart Disease: A Whole System Approach)","Self-care Support for People with Long Term Conditions, Diabetes and Heart Disease: A Whole System Approach | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Self-care Support for People with Long",https://cordis.europa.eu/project/id/279081/reporting,Total words: 23297 | Drawing: 5
604(0006),Drawing,CONNECT Combinatorics of Networks and Computation,Combinatorics of Networks and Computation | CONNECT | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Combinatorics of Networks and Computation Combinatorics of Networks,https://cordis.europa.eu/project/id/734922,Total words: 3305 | Drawing: 1
604(0006),Drawing,D3 Interpreting Drawings for 3D Design,Interpreting Drawings for 3D Design | D3 | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Interpreting Drawings for 3D Design Interpreting Drawings for 3D Design Fact S,https://cordis.europa.eu/project/id/714221,Total words: 1594 | Drawing: 8
604(0006),Drawing,Archived Final Report Summary - SEARCH (Sharing KnowledgE Assets: InteRegionally Cohesive NeigHborhoods),Sharing KnowledgE Assets: InteRegionally Cohesive NeigHborhoods | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Sharing KnowledgE Assets: InteRegionally Cohesive NeigHborhoods Content archived o,https://cordis.europa.eu/project/id/266834/reporting,Total words: 29099 | Drawing: 10
604(0006),Drawing,Archived Final Report Summary - SICTEC (Single Cell Technologies for SMEs),Single Cell Technologies for SMEs | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Single Cell Technologies for SMEs Content archived on 2024-06-18 Single Cell Technologies for SMEs Reporting Fac,https://cordis.europa.eu/project/id/606167/reporting,Total words: 26227 | Drawing: 6
604(0006),Drawing,Archived DTIIMA Drawing and the Transmission of Images and Ideas in the Middle Ages,Drawing and the Transmission of Images and Ideas in the Middle Ages | DTIIMA | Project | Fact Sheet | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Drawing and the Transmission of Images and Ide,https://cordis.europa.eu/project/id/294033,Total words: 1365 | Drawing: 7
604(0006),Drawing,EDEN ISS Ground Demonstration of Plant Cultivation Technologies and Operation in Space for Safe Food Production on-board ISS and Future Human Space Exploration Vehicles and Planetary Outposts,Ground Demonstration of Plant Cultivation Technologies and Operation in Space for Safe Food Production on-board ISS and Future Human Space Exploration Vehicles and Planetary Outposts | EDEN ISS | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Vid,https://cordis.europa.eu/project/id/636501,Total words: 3276 | Drawing: 1
604(0006),Drawing,"Archived Final Report Summary - ACCEPT PLURALISM (Tolerance, Pluralism and Social Cohesion. Responding to the Challenges of the 21st Century in Europe)","Tolerance, Pluralism and Social Cohesion. Responding to the Challenges of the 21st Century in Europe | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Tolerance, Pluralism and Social Cohesion. Res",https://cordis.europa.eu/project/id/243837/reporting,Total words: 34742 | Drawing: 9
604(0006),Drawing,AMaTUC Boosting the scientific excellence and innovation capacity in additive manufacturing of the Technical University of Cluj-Napoca,Boosting the scientific excellence and innovation capacity in additive manufacturing of the Technical University of Cluj-Napoca | AMaTUC | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &a,https://cordis.europa.eu/project/id/691787,Total words: 1702 | Drawing: 1
604(0006),Drawing,Archived Final Report Summary - EGERA (Effective Gender Equality in Research and the Academia),Effective Gender Equality in Research and the Academia | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Effective Gender Equality in Research and the Academia Content archived on 2024-06-18 Effec,https://cordis.europa.eu/project/id/612413/reporting,Total words: 16127 | Drawing: 10
