sic_code,course_name,title,description,url,total_words
604(0023),Drafting,EMPOWERING EMPOWERING LOCAL PUBLIC AUTHORITIES TO BUILD INTEGRATED SUSTAINABLE ENERGY STRATEGIES,EMPOWERING LOCAL PUBLIC AUTHORITIES TO BUILD INTEGRATED SUSTAINABLE ENERGY STRATEGIES | EMPOWERING | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 EMPOWERING LOCAL PUB,https://cordis.europa.eu/project/id/695944,Total words: 2585 | Drafting: 1
604(0023),Drafting,"VULNER Vulnerabilities under the Global Protection Regime: how does the law assess, address, shape, and produce the vulnerabilities of protection seekers?","Vulnerabilities under the Global Protection Regime: how does the law assess, address, shape, and produce the vulnerabilities of protection seekers? | VULNER | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Searc",https://cordis.europa.eu/project/id/870845,Total words: 2784 | Drafting: 1
604(0023),Drafting,Archived Final Report Summary - EUROREACH (EuroREACH A Handbook to Access Health Care Data for Cross-country Comparisons of Efficiency and Quality),EuroREACH A Handbook to Access Health Care Data for Cross-country Comparisons of Efficiency and Quality | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 EuroREACH A Handbook to Access Health Care,https://cordis.europa.eu/project/id/242099/reporting,Total words: 17185 | Drafting: 2
604(0023),Drafting,PalliativeSedation The use of proportional palliative sedation for the relief of refractory symptoms: an international multicenter study,The use of proportional palliative sedation for the relief of refractory symptoms: an international multicenter study | PalliativeSedation | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects,https://cordis.europa.eu/project/id/825700,Total words: 3023 | Drafting: 1
604(0023),Drafting,Archived European wind turbine standards,European wind turbine standards | Project | Fact Sheet | FP3 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP3 European wind turbine standards Content archived on 2024-04-19 European wind turbine standa,https://cordis.europa.eu/project/id/JOU20387,Total words: 4702 | Drafting: 5
604(0023),Drafting,Archived Final Report Summary - ICOS (Integrated Carbon Observation System),Integrated Carbon Observation System | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Integrated Carbon Observation System Content archived on 2024-05-27 Integrated Carbon Observation System Repo,https://cordis.europa.eu/project/id/211574/reporting,Total words: 16039 | Drafting: 8
604(0023),Drafting,Archived Final Report Summary - AGRICISTRADE (Exploring the potential for agricultural and biomass trade in the Commonwealth of Independent States),Exploring the potential for agricultural and biomass trade in the Commonwealth of Independent States | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Exploring the potential for agricultural and,https://cordis.europa.eu/project/id/612755/reporting,Total words: 20291 | Drafting: 1
604(0023),Drafting,Archived Final Report Summary - STAGES (Structural Transformation to Achieve Gender Equality in Science),Structural Transformation to Achieve Gender Equality in Science | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Structural Transformation to Achieve Gender Equality in Science Content archived o,https://cordis.europa.eu/project/id/289051/reporting,Total words: 20914 | Drafting: 11
604(0023),Drafting,"Archived Final Report Summary - MED-SPRING (Mediterranean Science, Policy, Research & Innovation Gateway)","Mediterranean Science, Policy, Research &amp; Innovation Gateway | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Mediterranean Science, Policy, Research &amp; Innovation Gateway Content archived",https://cordis.europa.eu/project/id/311780/reporting,Total words: 14356 | Drafting: 4
604(0023),Drafting,Archived Final Report Summary - TRIGGER (TRansforming Institutions by Gendering contents and Gaining Equality in Research),TRansforming Institutions by Gendering contents and Gaining Equality in Research | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 TRansforming Institutions by Gendering contents and Gaining Equal,https://cordis.europa.eu/project/id/611034/reporting,Total words: 18672 | Drafting: 11
