sic_code,course_name,title,description,url,total_words
604(0026),Shadows,Charting brain signalling with shadows,Modulation of neuronal Signaling by Brain Extracellular Space Structure and Dynamics | NeuroExcell | Project | Fact Sheet | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results Horizon Europe Modulatio,https://cordis.europa.eu/project/id/101067304,Total words: 1926 | Shadows: 3
604(0026),Shadows,Archived Final Report Summary - LAMPRE (LAndslide Modelling and tools for vulnerability assessment Preparedness and REcovery management),LAndslide Modelling and tools for vulnerability assessment Preparedness and REcovery management | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 LAndslide Modelling and tools for vulnerability as,https://cordis.europa.eu/project/id/312384/reporting,Total words: 15697 | Shadows: 3
604(0026),Shadows,Archived Final Report Summary - SWAB (Shadows of Slavery in West Africa and Beyond. A Historical Anthropology),Shadows of Slavery in West Africa and Beyond. A Historical Anthropology | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Shadows of Slavery in West Africa and Beyond. A Historical Anthropology Co,https://cordis.europa.eu/project/id/313737/reporting,Total words: 935 | Shadows: 5
604(0026),Shadows,Archived Wing Reflectometry In-Flight Monitoring of Wing Surface with Quasi tangential Reflectometry and Shadow Casting,In-Flight Monitoring of Wing Surface with Quasi tangential Reflectometry and Shadow Casting | Wing Reflectometry | Project | Fact Sheet | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 In-Flight,https://cordis.europa.eu/project/id/287120,Total words: 910 | Shadows: 1
604(0026),Shadows,Archived Moving girls out of the shadows,Moving girls out of the shadows | News | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home News Moving girls out of the shadows Article Category Content archived on 2023-03-02 Article available in the following languages: DE EN ES FR,https://cordis.europa.eu/article/id/27277-moving-girls-out-of-the-shadows,Total words: 1638 | Shadows: 4
604(0026),Shadows,Archived SWAB Shadows of Slavery in West Africa and Beyond. A Historical Anthropology,Shadows of Slavery in West Africa and Beyond. A Historical Anthropology | SWAB | Project | Fact Sheet | FP7 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results FP7 Shadows of Slavery in West Africa and Beyond,https://cordis.europa.eu/project/id/313737,Total words: 1402 | Shadows: 3
604(0026),Shadows,"SANDS Stars, plANets, and Discs in multiple Systems","Stars, plANets, and Discs in multiple Systems | SANDS | Project | Fact Sheet | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 Stars, plANets, and Discs in multiple Systems Stars, plANets, and",https://cordis.europa.eu/project/id/896319,Total words: 1530 | Shadows: 1
604(0026),Shadows,"Periodic Reporting for period 1 - 3D-SMoHC (3D SMART MODELS FOR HERITAGE CONSERVATION An Open Science project for documentation, management and representation of Cultural Heritage)","3D SMART MODELS FOR HERITAGE CONSERVATION An Open Science project for documentation, management and representation of Cultural Heritage | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 3D SMA",https://cordis.europa.eu/project/id/747046/reporting,Total words: 1921 | Shadows: 3
604(0026),Shadows,Periodic Reporting for period 2 - OurFuture (European Researchers' Night: Researchers' For a Better Future),European Researchers&#039; Night: Researchers&#039; For a Better Future | H2020 | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results H2020 European Researchers&#039; Night: Researchers&#039; For a Better Futur,https://cordis.europa.eu/project/id/633243/reporting,Total words: 3651 | Shadows: 2
604(0026),Shadows,TMSHADS Topological and Measurable Shadowing Properties in Dynamical Systems,Topological and Measurable Shadowing Properties in Dynamical Systems | TMSHADS | Project | Fact Sheet | HORIZON | CORDIS | European Commission Skip to main content (opens in new window) Log in Log in English English Select your language Close CORDIS languages: es español de Deutsch en English fr français it italiano pl polski Machine translation: This is a machine translation provided by the European Commission’s eTranslation service to help you understand this page. Please read the conditions of use . български español čeština dansk Deutsch eesti ελληνικά français Gaeilge hrvatski italiano latviešu lietuvių magyar Malti Nederlands polski português română slovenčina slovenščina suomi svenska русский Українська Translate Search Search Search Search CORDIS - EU research results CORDIS Menu Close Menu Back Previous items Next items Home Thematic Packs Projects &amp; Results Videos &amp; Podcasts News Datalab Search Home … Projects &amp; Results Horizon Europe Topological and Measurable Sh,https://cordis.europa.eu/project/id/101151716,Total words: 1756 | Shadows: 1
